000,f00,1bb,9cc,1aa,b88,fbb,633
022,fcc,1bb,9dd,7aa,788,c99,b88
444,233,288,266,266,433,f11,666
1aa,133,022,fff,daa,355,777,244
266,b99,455,466,011,933,733,288
d11,999,444,344,277,822,277,588
888,2aa,c99,2bb,011,fff,fee,fee
3bb,add,cee,fcc,cee,f22,333,bee
dff,ddd,744,fee,8dd,2bb,fdd,9dd
bbb,bdd,fdd,111,6cc,5cc,fee,bee
cee,733,fcc,f88,edd,8dd,222,dbb
fbb,6cc,622,edd,f11,555,4cc,aaa
855,dcc,666,888,fdd,f66,ccc,f44
ddd,f99,abb,bee,444,b99,ecc,cee
f55,dcc,f55,4bb,aaa,566,faa,7dd
5cc,899,aee,f77,b99,a88,977,f33
4bb,caa,477,966,fdd,f99,f33,add
dbb,a77,677,7bb,9aa,cbb,7dd,dff
7dd,dcc,add,a99,577,999,caa,533
188,fbb,144,fbb,733,bcc,455,677
722,9aa,a77,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
